Merchant ID,Merchant Name,Tentative AOV,Currency,Sample Product Count,Method,Source File,Source Date
362158,Winix,147.6,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
362233,O Positiv,41.98,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
362235,Feetures,30.05,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
362247,Physician's Choice,31.65,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
362342,Nulastin,126.67,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
362653,Shokz Official,136.62,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
362738,WOLFBOX,127.32,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
363099,Sparthos,28.97,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
363152,Valerion,2132.33,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
363249,BettaOfficial,376.57,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
363253,Mellanni,60.99,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
363298,MaryRuth Organics,34.62,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
363300,Fellow Industries Inc.,29.95,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
363327,Seed Health Inc,66.66,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
363384,Willit Sports,23.99,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
363396,Designs for Health,29.16,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
363433,ColourPop Cosmetics,8,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
363463,Ulike,246.66,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
363501,Nutricost,31.47,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
363503,Luna Bean,21.64,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
369185,Thermacell,36.06,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
369207,Amazfit,268.32,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
369345,Bloom,24.71,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
380662,Freebird,56.62,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
380725,Sun Bum,22.5,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
380787,Peach & Lily,8.29,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
380798,Pandora,110,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
380813,MERACHFITNESS,148.99,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
380864,Project Cloud,39.9,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
380945,Merach,103.32,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
380959,Chefman,111.66,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
381366,WaterBoy,39.99,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
381969,Bonafide,89.66,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
382157,Coop Home Goods,44.67,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
383441,Ogee,63,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
383493,OUNUO,79.99,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
383772,Roborock,809.99,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
384493,YOLEO,113.46,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
384570,Strider,229.99,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
384684,Hustle Butter Deluxe,21.66,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
385281,Anua,22.67,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
385442,"Rhino USA, Inc.",49.63,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
387792,RENPHO WELLNESS,75.32,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
387793,RENPHO Group,29.99,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
387988,Sawyer,15.31,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
388011,SKINTIFIC US STORE,13.9,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
398751,ECOFLOW,1042.33,,5,five_product_average,YP Top Amazon Offers (7-6) .xlsx,2026-07-06
